TARGET_ID,Ind,Pop,Region,Sector
21-PVER-25,21_Pver_25,21-550,GBR,Swains
22-PVER-30,22_Pver_30,22-084,GBR,Swains
APRIL2021-CHICKEN-P.VERRUCOSA-30,April2021-Chicken-P. verrucosa-30,Chicken,GBR,Townsville
APRIL2021-DAVIES-P.VERRUCOSA-21,April2021-Davies-P. verrucosa-21,Davies,GBR,Townsville
APRIL2021-DAVIES-P.VERRUCOSA-24,April2021-Davies-P. verrucosa-24,Davies,GBR,Townsville
APRIL2021-DAVIES-P.VERRUCOSA-9,April2021-Davies-P. verrucosa-9,Davies,GBR,Townsville
CHINAMAN-PVER-17,Chinaman_Pver_17,Chinaman,GBR,Swains
CHINAMAN-PVER-25,Chinaman_Pver_25,Chinaman,GBR,Swains
CHINAMAN-PVER-29,Chinaman_Pver_29,Chinaman,GBR,Swains
CHINAMAN-PVER-32,Chinaman_Pver_32,Chinaman,GBR,Swains
CHINAMAN-PVER-38,Chinaman_Pver_38,Chinaman,GBR,Swains
CHINAMAN-PVER-4,Chinaman_Pver_4,Chinaman,GBR,Swains
CORB-PVER-1,Corb_Pver_1,Corbett,GBR,PCB
CORB-PVER-11,Corb_Pver_11,Corbett,GBR,PCB
CORB-PVER-12,Corb_Pver_12,Corbett,GBR,PCB
CORB-PVER-13,Corb_Pver_13,Corbett,GBR,PCB
CORB-PVER-18,Corb_Pver_18,Corbett,GBR,PCB
CORB-PVER-20,Corb_Pver_20,Corbett,GBR,PCB
CORB-PVER-25,Corb_Pver_25,Corbett,GBR,PCB
CORB-PVER-26,Corb_Pver_26,Corbett,GBR,PCB
CORB-PVER-33,Corb_Pver_33,Corbett,GBR,PCB
FR-1,FR-1,Fitzroy,GBR,CapBunker
FR-10,FR-10,Fitzroy,GBR,CapBunker
FR-18,FR-18,Fitzroy,GBR,CapBunker
FR-9,FR-9,Fitzroy,GBR,CapBunker
HOSKYNS-PVERR-25,Hoskyns_Pverr_25,Hoskyns,GBR,CapBunker
HOSKYNS-PVERR-30,Hoskyns_Pverr_30,Hoskyns,GBR,CapBunker
HOSKYNS-PVERR-31,Hoskyns_Pverr_31,Hoskyns,GBR,CapBunker
HOSKYNS-PVERR-32,Hoskyns_Pverr_32,Hoskyns,GBR,CapBunker
HOSKYNS-PVERR-36,Hoskyns_Pverr_36,Hoskyns,GBR,CapBunker
JAN2019-13-124-P.VERRUCOSA-96,JAN2019_13-124_P. verrucosa_96,13-124,GBR,PCB
JAN2019-13-124-P.VERRUCOSA-98,JAN2019_13-124_P. verrucosa_98,13-124,GBR,PCB
JAN2019-DAVIE-P.VERRUCOSA-2,JAN2019_Davie_P. verrucosa_2,Davie,GBR,PCB
JAN2019-DAVIE-P.VERRUCOSA-4,JAN2019_Davie_P. verrucosa_4,Davie,GBR,PCB
LADY-PVERR-25,Lady_Pverr_25,Lady Musgrave,GBR,CapBunker
LADY-PVERR-26,Lady_Pverr_26,Lady Musgrave,GBR,CapBunker
LADY-PVERR-29,Lady_Pverr_29,Lady Musgrave,GBR,CapBunker
LADY-PVERR-30,Lady_Pverr_30,Lady Musgrave,GBR,CapBunker
LADY-PVERR-39,Lady_Pverr_39,Lady Musgrave,GBR,CapBunker
PVER001,P ver 001,Saumarez,Coral Sea,CS6
PVER002,P ver 002,Saumarez,Coral Sea,CS6
PVER004,P ver 004,Saumarez,Coral Sea,CS6
PVER005,P ver 005,Saumarez,Coral Sea,CS6
PVER008,P ver 008,Saumarez,Coral Sea,CS6
PVER010,P ver 010,Saumarez,Coral Sea,CS6
PVER011,P ver 011,Saumarez,Coral Sea,CS6
PVER013,P ver 013,Saumarez,Coral Sea,CS6
PVER014,P ver 014,Saumarez,Coral Sea,CS6
PVER015,P ver 015,Saumarez,Coral Sea,CS6
PVER023,P ver 023,Saumarez,Coral Sea,CS6
PVER029,P ver 029,Wreck,Coral Sea,CS6
PVER031,P ver 031,Wreck,Coral Sea,CS6
PVER035,P ver 035,Wreck,Coral Sea,CS6
PVER037,P ver 037,Wreck,Coral Sea,CS6
PVER043,P ver 043,Wreck,Coral Sea,CS6
PVER055,P ver 055,Frederick,Coral Sea,CS6
PVER056,P ver 056,Frederick,Coral Sea,CS6
PVER057,P ver 057,Frederick,Coral Sea,CS6
PVER059,P ver 059,Frederick,Coral Sea,CS6
PVER061,P ver 061,Frederick,Coral Sea,CS6
PVER065,P ver 065,Frederick,Coral Sea,CS6
PVER066,P ver 066,Frederick,Coral Sea,CS6
PVER082,P ver 082,Marion,Coral Sea,CS5
PVER084,P ver 084,Marion,Coral Sea,CS5
PVER091,P ver 091,Marion,Coral Sea,CS5
PVER092,P ver 092,Marion,Coral Sea,CS5
PVER095,P ver 095,Marion,Coral Sea,CS5
PVER097,P ver 097,Marion,Coral Sea,CS5
PVER104,P ver 104,Marion,Coral Sea,CS5
PVER112,P ver 112,Marion,Coral Sea,CS5
PVER167,P ver 167,Chilcott,Coral Sea,CS4
PVER168,P ver 168,Chilcott,Coral Sea,CS4
PVER169,P ver 169,Chilcott,Coral Sea,CS4
PVER170,P ver 170,Chilcott,Coral Sea,CS4
PVER171,P ver 171,Chilcott,Coral Sea,CS4
PVER174,P ver 174,Chilcott,Coral Sea,CS4
PVER179,P ver 179,Chilcott,Coral Sea,CS4
PVER182,P ver 182,Chilcott,Coral Sea,CS4
PVER232,P ver 232,Willis,Coral Sea,CS3
PVER233,P ver 233,Willis,Coral Sea,CS3
PVER234,P ver 234,Willis,Coral Sea,CS3
PVER237,P ver 237,Willis,Coral Sea,CS3
PVER239,P ver 239,Willis,Coral Sea,CS3
PVER245,P ver 245,Moore,Coral Sea,CS3
PVER246,P ver 246,Moore,Coral Sea,CS3
PVER247,P ver 247,Moore,Coral Sea,CS3
PVER248,P ver 248,Moore,Coral Sea,CS3
PVER249,P ver 249,Moore,Coral Sea,CS3
PVER251,P ver 251,Moore,Coral Sea,CS3
PVER252,P ver 252,Moore,Coral Sea,CS3
PVER255,P ver 255,Moore,Coral Sea,CS3
PVER266,P ver 266,Moore,Coral Sea,CS3
PVER271,P ver 271,Moore,Coral Sea,CS3
PVER273,P ver 273,Moore,Coral Sea,CS3
PVER275,P ver 275,Moore,Coral Sea,CS3
PVER277,P ver 277,Moore,Coral Sea,CS3
PVER284,P ver 284,Holmes,Coral Sea,CS2
PVER286,P ver 286,Holmes,Coral Sea,CS2
PVER290,P ver 290,Holmes,Coral Sea,CS2
PVER304,P ver 304,Holmes,Coral Sea,CS2
PVER347,P ver 347,Bougainville,Coral Sea,CS1
PVER358,P ver 358,Bougainville,Coral Sea,CS1
PVER361,P ver 361,Bougainville,Coral Sea,CS1
PVER367,P ver 367,Bougainville,Coral Sea,CS1
PVER373,P ver 373,Bougainville,Coral Sea,CS1
PVER376,P ver 376,Bougainville,Coral Sea,CS1
PVER381,P ver 381,Bougainville,Coral Sea,CS1
PVER382,P ver 382,Bougainville,Coral Sea,CS1